abs: false|float|int
mktime: probably-null
move_uploaded_file: bool
msg_get_queue: mixed
msg_queue_exists: bool
msg_receive: bool
msg_remove_queue: bool|probably-null
msg_send: bool
msg_set_queue: bool
msg_stat_queue: array|false
msgfmt_create: null|probably-null
msgfmt_format: false|probably-null
msgfmt_format_message: false|null|probably-null
msgfmt_get_error_code: false|int
msgfmt_get_error_message: false|string
msgfmt_get_locale: false|string
msgfmt_get_pattern: false|string
msgfmt_parse: false|probably-null
msgfmt_parse_message: false|null|probably-null
msgfmt_set_pattern: bool
mt_getrandmax: int|probably-null
mt_rand: false|int
mt_srand: probably-null
mysqli_affected_rows: false|int|null|probably-null|string
mysqli_autocommit: bool|null|probably-null
mysqli_begin_transaction: bool|null|probably-null
mysqli_change_user: bool|null|probably-null
mysqli_character_set_name: false|null|probably-null|string
mysqli_close: bool|null|probably-null
mysqli_commit: bool|null|probably-null
mysqli_connect: probably-null
mysqli_connect_errno: int
mysqli_connect_error: null|probably-null|string
mysqli_data_seek: bool|probably-null
mysqli_debug: true
mysqli_driver_construct: probably-null
mysqli_dump_debug_info: bool|null|probably-null
mysqli_errno: false|int|null|probably-null
mysqli_error: false|null|probably-null|string
mysqli_error_list: array|false|null|probably-null
mysqli_fetch_all: false|probably-null
mysqli_fetch_array: probably-null
mysqli_fetch_assoc: probably-null
mysqli_fetch_field: false|probably-null
mysqli_fetch_field_direct: false|probably-null
mysqli_fetch_fields: array|false|probably-null
mysqli_fetch_lengths: array|false|probably-null
mysqli_fetch_object: probably-null
mysqli_fetch_row: probably-null
mysqli_field_count: false|int|null|probably-null
mysqli_field_seek: bool|probably-null
mysqli_field_tell: false|int|probably-null
mysqli_free_result: false|probably-null
mysqli_get_charset: false|null|probably-null
mysqli_get_client_info: probably-null|string
mysqli_get_client_stats: probably-null
mysqli_get_client_version: int
mysqli_get_connection_stats: false|null|probably-null
mysqli_get_host_info: false|null|probably-null|string
mysqli_get_links_stats: array|probably-null
mysqli_get_proto_info: false|int|null|probably-null
mysqli_get_server_info: false|null|probably-null|string
mysqli_get_server_version: false|int|null|probably-null
mysqli_get_warnings: false|null|object|probably-null
mysqli_info: false|null|probably-null|string
mysqli_init: probably-null
mysqli_init_method: probably-null
mysqli_insert_id: false|int|null|probably-null|string
mysqli_kill: bool|null|probably-null
mysqli_link_construct: probably-null
mysqli_more_results: bool|null|probably-null
mysqli_multi_query: bool|null|probably-null
mysqli_next_result: bool|null|probably-null
mysqli_num_fields: false|int|probably-null
mysqli_num_rows: false|int|probably-null|string
mysqli_options: bool|null|probably-null
mysqli_ping: bool|null|probably-null
mysqli_poll: false|int|probably-null
mysqli_prepare: false|null|object|probably-null
mysqli_query: bool|null|object|probably-null
mysqli_real_connect: probably-null
mysqli_real_escape_string: false|null|probably-null|string
mysqli_real_query: bool|null|probably-null
mysqli_reap_async_query: bool|null|object|probably-null
mysqli_refresh: bool|null|probably-null
mysqli_release_savepoint: bool|null|probably-null
mysqli_report: true
mysqli_result_construct: false|null|probably-null
mysqli_rollback: bool|null|probably-null
mysqli_savepoint: bool|null|probably-null
mysqli_select_db: bool|null|probably-null
mysqli_set_charset: bool|null|probably-null
mysqli_sqlstate: false|null|probably-null|string
mysqli_ssl_set: bool|null|probably-null
mysqli_stat: false|null|probably-null|string
mysqli_stmt_affected_rows: false|int|null|probably-null|string
mysqli_stmt_attr_get: false|int|null|probably-null
mysqli_stmt_attr_set: bool|null|probably-null
mysqli_stmt_bind_param: bool|null|probably-null
mysqli_stmt_bind_result: bool|null|probably-null
mysqli_stmt_close: bool|null|probably-null
mysqli_stmt_construct: false|null|probably-null
mysqli_stmt_data_seek: false|null|probably-null
mysqli_stmt_errno: false|int|null|probably-null
mysqli_stmt_error: false|null|probably-null|string
mysqli_stmt_error_list: array|false|null|probably-null
mysqli_stmt_execute: bool|null|probably-null
mysqli_stmt_fetch: probably-null
mysqli_stmt_field_count: false|int|null|probably-null
mysqli_stmt_free_result: false|null|probably-null
mysqli_stmt_get_result: false|null|object|probably-null
mysqli_stmt_get_warnings: false|null|object|probably-null
mysqli_stmt_init: false|null|object|probably-null
mysqli_stmt_insert_id: false|int|null|probably-null|string
mysqli_stmt_more_results: bool|null|probably-null
mysqli_stmt_next_result: bool|null|probably-null
mysqli_stmt_num_rows: false|int|null|probably-null|string
mysqli_stmt_param_count: false|int|null|probably-null
mysqli_stmt_prepare: bool|null|probably-null
mysqli_stmt_reset: bool|null|probably-null
mysqli_stmt_result_metadata: false|null|object|probably-null
mysqli_stmt_send_long_data: bool|null|probably-null
mysqli_stmt_sqlstate: false|null|probably-null|string
mysqli_stmt_store_result: bool|null|probably-null
mysqli_store_result: false|null|object|probably-null
mysqli_thread_id: false|int|null|probably-null
mysqli_thread_safe: true
mysqli_use_result: false|null|object|probably-null
mysqli_warning_count: false|int|null|probably-null
natcasesort: probably-null
natsort: probably-null
net_get_interfaces: array|false
next: mixed
normalizer_is_normalized: bool
normalizer_normalize: false|null|string
number_format: string
numfmt_create: null|probably-null
numfmt_format: false|string
numfmt_format_currency: false|probably-null|string
numfmt_get_attribute: false|float|int|probably-null
numfmt_get_error_code: false|int
numfmt_get_error_message: false|string
numfmt_get_locale: false|string
numfmt_get_pattern: false|string
numfmt_get_symbol: false|string
numfmt_get_text_attribute: false|string
numfmt_parse: false|float|int
numfmt_parse_currency: false|float
numfmt_set_attribute: bool
numfmt_set_pattern: bool
numfmt_set_symbol: bool
numfmt_set_text_attribute: bool
ob_clean: bool|probably-null
ob_end_clean: bool|probably-null
ob_end_flush: bool|probably-null
ob_flush: bool|probably-null
ob_get_clean: false|probably-null
ob_get_contents: false|probably-null
ob_get_flush: false|probably-null
ob_get_length: false|probably-null
ob_get_level: int|probably-null
ob_get_status: array|probably-null
ob_implicit_flush: probably-null
ob_list_handlers: array|probably-null
ob_start: bool
octdec: false|probably-null
opcache_compile_file: bool|probably-null
opcache_get_configuration: array|false
opcache_get_status: array|false
opcache_invalidate: bool|probably-null
opcache_is_script_cached: bool
